#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A35FCC
#Date Time: 2019-04-05 19:01:53.407
#Start: 100 Hz
#Stop: 8000 Hz
#Steps: 1000
#Wavegen: Wavegen1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16
#Channel: Channel 1
#Range: 5.42537 V
#Offset: 0.000183761 V
#Relative: no

Frequency (Hz),Channel 1 Magnitude (dB)
100.00000000000006,0.24898641207748123
100.43960474390906,0.2490078188616795
100.88114201112673,0.24975189349914576
101.32462029711732,0.25538709006548971
101.77004813469122,0.24908453534836417
102.21743409416979,0.24711403671689219
102.66678678354982,0.25310907889304923
103.11811484866922,0.24866766670822027
103.57142697337362,0.25190079338672666
104.02673187968281,0.24885898996584219
104.48403832795938,0.24958421530443786
104.94335511707678,0.24921599004226277
105.40469108458872,0.25322602743292594
105.86805510689929,0.25243521301656147
106.33345609943342,0.25587193178042444
106.80090301680892,0.2474701998429702
107.27040485300846,0.24514311395143518
107.74197064155268,0.24774587715978236
108.21560945567403,0.25232639455556355
108.69133040849125,0.24916679717301157
109.16914265318479,0.24785581340730695
109.64905538317298,0.2459828121817674
110.1310778322888,0.25474907794977986
110.61521927495771,0.24595754370308073
111.10148902637582,0.25305240711467786
111.58989644268929,0.24541574861340093
112.0804509211745,0.25267194717545466
112.57316190041858,0.25500332432511691
113.06803886050122,0.25254047613130637
113.56509132317692,0.24932217291848352
114.06432885205818,0.2490450274007168
114.56576105279979,0.25186403286858822
115.06939757328334,0.25572646379486091
115.57524810380305,0.24941463566411901
116.08332237725202,0.24562497916921688
116.59363016930959,0.2548465660327151
117.10618129862959,0.24490963245359731
117.62098562702904,0.25599612836318159
118.13805305967803,0.24442595227468208
118.65739354529018,0.24547226872017253
119.17901707631404,0.24972847490718031
119.70293368912562,0.25220169000774928
120.22915346422133,0.2525462608949644
120.75768652641166,0.25085698773073473
121.28854304501658,0.24598766603310909
121.82173323406057,0.24540925552897161
122.35726735246968,0.25468229335508502
122.8951557042686,0.24418450515635937
123.43540863877891,0.25020289524217609
123.9780365508185,0.24790085637774922
124.52304988090114,0.25450530158047296
125.07045911543774,0.24640410835379439
125.62027478693801,0.24492024969208454
126.17250747421294,0.24691636548360954
126.72716780257856,0.24761554477409708
127.28426644406021,0.24790628324955172
127.84381411759807,0.2465287440909161
128.40582158925329,0.24367734549268827
128.97029967241497,0.24863199490377549
129.53725922800862,0.2537350927202936
130.10671116470465,0.24378310950855031
130.67866643912865,0.25297524368174523
131.25313605607215,0.24581648691841707
131.83013106870396,0.25348451160124474
132.40966257878344,0.24694878087727229
132.99174173687373,0.24466483242891374
133.57637974255624,0.24739021768570796
134.16358784464646,0.24973515463504287
134.75337734141004,0.24923627492065664
135.34575958078048,0.24595323748670575
135.94074596057735,0.24458529788820005
136.5383479287253,0.25040935769949746
137.13857698347502,0.25159982390680591
137.74144467362368,0.24465619314872444
138.34696259873769,0.25034093312442612
138.95514240937581,0.2476099174557988
139.56599580731302,0.25000444253928622
140.17953454576579,0.24926420634372526
140.79577042961853,0.2452981971996111
141.41471531565037,0.24871829374449111
142.03638111276342,0.24942877830478682
142.66077978221188,0.24805415217178256
143.28792333783204,0.25020098990567841
143.91782384627382,0.25000279643668583
144.55049342723265,0.25061605805852288
145.18594425368269,0.24759660933401112
145.82418855211102,0.245518316518651
146.46523860275289,0.25028941343489047
147.10910673982823,0.24664743962154428
147.75580535177869,0.24921741415101897
148.40534688150612,0.24750912810180825
149.05774382661187,0.24712581308416084
149.71300873963739,0.24768404575977343
150.37115422830576,0.24952925943357049
151.03219295576409,0.24581197755629031
151.69613764082749,0.24846211586520314
152.36300105822338,0.2501135343972431
153.03279603883743,0.2482951468584676
153.70553546996072,0.24821772720028781
154.38123229553742,0.24522203780354751
155.05989951641382,0.24450843641210257
155.74155019058858,0.24357091783255908
156.42619743346381,0.24568554096064932
157.11385441809779,0.25078379496117276
157.80453437545802,0.24975795254672178
158.49825059467611,0.24394230308845019
159.19501642330317,0.25154233578368068
159.89484526756669,0.24360835384832275
160.59775059262887,0.24934811155569603
161.30374592284522,0.25281853063100129
162.01284484202495,0.24571960540996365
162.72506099369258,0.24348658368747395
163.44040808134966,0.24039165005427932
164.1588998687395,0.23908242443308389
164.8805501801113,0.24484159137344699
165.60537290048632,0.25098589912552588
166.33338197592519,0.24675237632501901
167.06459141379565,0.24235785276143659
167.79901528304288,0.25257219461571911
168.53666771445972,0.24958863749331386
169.2775629009586,0.24282927779899754
170.02171509784495,0.23941077963066748
170.7691386230905,0.2429563500440016
171.51984785761013,0.243230776485476
172.27385724553767,0.24099514981814041
173.03118129450408,0.24676236594639345
173.79183457591665,0.25520499760805804
174.55583172523887,0.24411991624560553
175.32318744227283,0.24932891966305978
176.09391649144152,0.24103380582775
176.86803370207303,0.25366388586149596
177.6455539686861,0.24008317579202498
178.42649225127585,0.24344495802129351
179.2108635756029,0.24379207776576703
179.99868303348151,0.24843310166320498
180.78996578307041,0.24943311299705118
181.58472704916443,0.24467704742958801
182.38298212348676,0.24241637259117149
183.18474636498431,0.25134925075800679
183.99003520012243,0.24534002031113111
184.798864123182,0.24616786002217428
185.61124869655765,0.24514702719307194
186.42720455105643,0.2512311566047753
187.24674738619981,0.2428945219316001
188.06989297052485,0.23848508981441685
188.89665714188783,0.242044200111208
189.7270558077692,0.24511121397676994
190.5611049455791,0.24364500733912955
191.39882060296526,0.24104359111061546
192.24021889812175,0.23880997798528134
193.08531602009896,0.24766036102889658
