#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A35FCC
#Date Time: 2019-04-05 19:12:34.282
#Start: 118.893 Hz
#Stop: 8000 Hz
#Steps: 1000
#Wavegen: Wavegen1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16
#Channel: Channel 1
#Range: 5.42537 V
#Offset: 0.000183761 V
#Relative: no

Frequency (Hz),Channel 1 Magnitude (dB)
118.89300000000009,-0.43409444944091591
119.39497504694125,-0.43350377674508606
119.89906946968883,-0.433074956802739
120.40529221640442,-0.44301854416813691
120.91365227302929,-0.43913416877139355
121.42415866344406,-0.43850749593211008
121.9368204496289,-0.42968530021222051
122.4516467318243,-0.4264592699359338
122.96864664869273,-0.43547431361231337
123.48782937748054,-0.42634367235259735
124.0092041341813,-0.4340391343267796
124.53278017369912,-0.43090637472863913
125.05856679001306,-0.42406400078168516
125.58657331634193,-0.43855117260733872
126.1168091253101,-0.43192093615111116
126.64928362911392,-0.43166713255234346
127.1840062796887,-0.43359546191133347
127.72098656887657,-0.43081129163286097
128.26023402859491,-0.42184750576455932
128.80175823100546,-0.42153477804796047
129.34556878868432,-0.42786412842900995
129.89167535479277,-0.42679037721366553
130.44008762324836,-0.42099662503605528
130.9908153288971,-0.42619714715680185
131.54386824768613,-0.42371116791202823
132.09925619683753,-0.42156031123312043
132.65698903502226,-0.4269364722939481
133.21707666253553,-0.43090191223281038
133.77952902147217,-0.42105199234290092
134.34435609590312,-0.41874282591701706
134.9115679120531,-0.42094414455211637
135.48117453847823,-0.42051930954286521
136.05318608624466,-0.42043276765825954
136.62761270910846,-0.41660912047795406
137.20446460369538,-0.42330840499163497
137.7837520096821,-0.42050561376393786
138.36548520997806,-0.41448116023226056
138.94967453090794,-0.41774253817338564
139.53633034239493,-0.41595050180449
140.12546305814456,-0.41541139807012023
140.71708313583008,-0.41830008718393102
141.3112010772777,-0.41332306619661119
141.90782742865326,-0.4083832068210092
142.50697278064891,-0.41102171039278135
143.10864776867183,-0.410497789621591
143.71286307303259,-0.41271866425217268
144.31962941913488,-0.40986834979142989
144.92895757766576,-0.41558148065198852
145.54085836478677,-0.41368207079676722
146.15534264232653,-0.41218211057118048
146.77242131797254,-0.41324346623757174
147.39210534546581,-0.41377939465734581
148.01440572479476,-0.40831731025287776
148.63933350239037,-0.41207414244153628
149.26689977132261,-0.40773044136059028
149.89711567149735,-0.40660150759757629
150.52999238985373,-0.40582892423094324
151.16554116056327,-0.41364327930968753
151.80377326522844,-0.41015354812535509
152.44470003308408,-0.40602006795535983
153.0883328411976,-0.40526535914669615
153.73468311467124,-0.41430010965334413
154.38376232684507,-0.40689662005944138
155.0355819995001,-0.40895621861749865
155.69015370306346,-0.40459618167759148
156.34748905681323,-0.40684340229069921
157.00759972908517,-0.39827136111255179
157.67049743747961,-0.40215338898181713
158.33619394906916,-0.40705752351957059
159.00470108060816,-0.39939200540997505
159.67603069874215,-0.40440768047520148
160.35019472021844,-0.40058786793017565
161.0272051120979,-0.4005232236079862
161.70707389196679,-0.40163554099703425
162.38981312815091,-0.40556925680899963
163.07543493992932,-0.40248447253866587
163.76395149774964,-0.4046013670945165
164.45537502344379,-0.40293592454805743
165.14971779044538,-0.40417922599050332
165.84699212400739,-0.39519030722094456
166.5472104014207,-0.39594659178126446
167.25038505223429,-0.39430733041175969
167.95652855847541,-0.40045102771553354
168.66565345487146,-0.39539561739718426
169.3777723290724,-0.4026133048311254
170.09289782187412,-0.39934426984281135
170.81104262744304,-0.40230805401035552
171.53221949354105,-0.40417997596772848
172.25644122175208,-0.39827057227511869
172.98372066770943,-0.39809216590704632
173.71407074132375,-0.38896712451319859
174.44750440701247,-0.40799212674396845
175.18403468392935,-0.39523719018956266
175.92367464619636,-0.3974422891646972
176.66643742313522,-0.39320770171831043
177.4123361995006,-0.39543403351331619
178.16138421571432,-0.39957938619294525
178.91359476809995,-0.3879488687402145
179.66898120911944,-0.38614669406844682
180.42755694760967,-0.38848514964035263
181.18933544902066,-0.39730715794839899
181.95433023565462,-0.39773053023076699
182.72255488690578,-0.39731413706675245
183.49402303950149,-0.3912689779519129
184.26874838774469,-0.39720205073951792
185.04674468375646,-0.39023928127329194
185.82802573772054,-0.39789755610257627
186.61260541812791,-0.38267666383146554
187.40049765202377,-0.38989413717744648
188.19171642525419,-0.39203134662682304
188.9862757827143,-0.39758890704806987
189.78418982859822,-0.39615138797715854
190.58547272664856,-0.39278270888088279
191.3901387004087,-0.39059668104199941
192.19820203347467,-0.38916007441244083
193.00967706974899,-0.3849454517329271
193.82457821369519,-0.3923670233149526
194.64291993059345,-0.38723279070717698
195.46471674679731,-0.38952957858726356
196.28998324999188,-0.38506668689046147
197.11873408945254,-0.39250309474042755
197.950983976305,-0.38706480617112182
198.78674768378616,-0.38177103795802797
199.6260400475069,-0.38620983528490838
200.4688759657152,-0.38495694329095109
201.31527039956018,-0.38161387599119623
202.16523837335851,-0.3847105673746129
203.01879497486016,-0.38686504944136357
203.87595535551711,-0.38441606490883234
204.73673473075166,-0.38572297789739202
205.60114838022682,-0.38687710601618347
206.46921164811755,-0.38649039400888219
207.34093994338289,-0.38076949448742492
208.21634874003959,-0.38524174374279618
209.0954535774371,-0.38565265126528364
209.97827006053296,-0.38848857076402765
210.86481386017022,-0.38618923831697816
211.75510071335501,-0.38633737492167819
212.64914642353656,-0.38014466039813621
213.54696686088752,-0.38335581701051413
214.44857796258518,-0.38599269264632441
215.35399573309519,-0.37804305001613309
216.2632362444549,-0.37746184021834045
217.1763156365592,-0.38305144658225571
218.09325011744681,-0.3814070461442155
219.01405596358794,-0.38405466537574307
219.93874952017336,-0.37885295131811442
220.86734720140424,-0.38364747913773301
221.79986549078373,-0.38311255998430777
222.73632094140976,-0.37583430726755984
223.67673017626856,-0.38480898384382722
224.62110988852996,-0.37848547204488775
225.5694768418432,-0.38120776875928941
226.5218478706353,-0.37955498002541144
227.4782398804094,-0.38268155767409573
228.4386698480447,-0.3784191940526489
229.4031548220984,-0.3849002022814188
230.37171192310745,-0.38180084777178519
231.34435834389356,-0.38292452949036304
232.32111134986741,-0.38101623279393182
233.30198827933569,-0.3750756548713664
234.28700654380879,-0.37898912516096944
235.27618362830955,-0.37392491095722957
236.26953709168382,-0.37823626027884683
237.26708456691253,-0.37897961051511914
238.26884376142416,-0.3761489048639346
239.27483245740939,-0.37415902728160966
240.28506851213629,-0.38061766562583632
241.29956985826803,-0.37234320592922898
242.31835450418077,-0.37510539384249353
243.34144053428298,-0.37918036163039726
244.36884610933737,-0.37628071864637036
245.40058946678226,-0.37735466335622825
246.43668892105606,-0.38092058319271238
247.4771628639221,-0.3756230164039856
248.52202976479504,-0.37223131975541107
249.57130817106884,-0.3758478769607943
250.62501670844577,-0.37686612828075305
251.68317408126717,-0.37635058884451056
252.74579907284567,-0.379397235137648
