second,Volt1,Volt2,Volt3,Volt4
-4.2843E-03,+132.1563E-03,-104.0000E-03,-8.1750E-03,+35.7188E-03
-4.2743E-03,+119.2188E-03,-118.2813E-03,-6.3938E-03,+34.3750E-03
-4.2643E-03,+103.5938E-03,-132.1250E-03,-3.2688E-03,+34.3750E-03
-4.2543E-03,+87.9688E-03,-144.6250E-03,-85.6438E-03,+25.4688E-03
-4.2443E-03,+75.9063E-03,-157.1250E-03,-148.8000E-03,+16.9688E-03
-4.2343E-03,+61.1875E-03,-167.8438E-03,-147.0188E-03,+13.8438E-03
-4.2243E-03,+46.0000E-03,-179.0000E-03,-147.4563E-03,+14.2813E-03
-4.2143E-03,+31.7188E-03,-189.7188E-03,-68.6438E-03,+15.6250E-03
-4.2043E-03,+23.2188E-03,-197.3125E-03,-8.1750E-03,+10.2813E-03
-4.1943E-03,+16.5313E-03,-205.3438E-03,-8.1750E-03,+4.4688E-03
-4.1843E-03,+5.3750E-03,-211.1563E-03,-6.3938E-03,+1.3438E-03
-4.1743E-03,+0.0E+00,-217.8438E-03,-126.1750E-03,+1.7813E-03
-4.1643E-03,-5.3438E-03,-221.8750E-03,-213.9875E-03,+4.9063E-03
-4.1543E-03,-9.3750E-03,-221.8750E-03,-211.3000E-03,+6.2500E-03
-4.1443E-03,-9.3750E-03,-221.8750E-03,-211.3000E-03,+8.0313E-03
-4.1343E-03,-9.3750E-03,-212.9688E-03,-213.0813E-03,+7.5938E-03
-4.1243E-03,-5.8125E-03,-211.5938E-03,-96.8625E-03,+6.2500E-03
-4.1143E-03,-1.3438E-03,-212.0625E-03,-9.9563E-03,+9.8125E-03
-4.1043E-03,+5.3438E-03,-204.0313E-03,-11.3000E-03,+10.7188E-03
-4.0943E-03,+12.9375E-03,-196.4375E-03,-9.5188E-03,+11.1563E-03
-4.0843E-03,+20.9688E-03,-186.6250E-03,-107.9250E-03,+17.8438E-03
-4.0743E-03,+32.1250E-03,-175.9063E-03,-184.9563E-03,+23.6563E-03
-4.0643E-03,+44.6250E-03,-162.9688E-03,-184.5188E-03,+30.3438E-03
-4.0543E-03,+58.9063E-03,-150.9063E-03,-183.1750E-03,+36.1563E-03
-4.0443E-03,+70.9688E-03,-137.9688E-03,-83.4250E-03,+41.0625E-03
-4.0343E-03,+85.6875E-03,-124.1250E-03,-8.1750E-03,+45.5313E-03
-4.0243E-03,+100.8750E-03,-108.0625E-03,-9.9563E-03,+52.2188E-03
-4.0143E-03,+115.1563E-03,-92.8750E-03,-7.7375E-03,+61.5938E-03
-4.0043E-03,+132.5625E-03,-82.1563E-03,-47.8000E-03,+67.4063E-03
-3.9943E-03,+147.7500E-03,-71.0000E-03,-80.0500E-03,+72.3125E-03
-3.9843E-03,+162.0313E-03,-56.7188E-03,-78.2688E-03,+76.7813E-03
-3.9743E-03,+174.0938E-03,-44.6563E-03,-78.7063E-03,+83.4688E-03
-3.9643E-03,+187.0313E-03,-37.0625E-03,-39.0813E-03,+87.5000E-03
-3.9543E-03,+200.8750E-03,-29.0313E-03,-6.3938E-03,+87.5000E-03
-3.9443E-03,+209.8125E-03,-21.4375E-03,-5.0500E-03,+94.6250E-03
-3.9343E-03,+217.8438E-03,-15.1875E-03,-5.0500E-03,+100.0000E-03
-3.9243E-03,+225.4375E-03,-10.7188E-03,-13.9563E-03,+101.7813E-03
-3.9143E-03,+229.9063E-03,-9.3750E-03,-15.3313E-03,+104.9063E-03
-3.9043E-03,+233.0313E-03,-11.1563E-03,-11.3000E-03,+102.6875E-03
-3.8943E-03,+234.3750E-03,-14.2813E-03,-11.3000E-03,+105.3438E-03
-3.8843E-03,+234.3750E-03,-15.6250E-03,-7.7375E-03,+109.3750E-03
-3.8743E-03,+229.0313E-03,-20.9688E-03,-5.0500E-03,+107.5938E-03
-3.8643E-03,+223.2188E-03,-28.5625E-03,-5.0500E-03,+106.2500E-03
-3.8543E-03,+216.5313E-03,-38.3750E-03,-5.0500E-03,+100.9063E-03
-3.8443E-03,+208.9375E-03,-49.0938E-03,-31.7688E-03,+98.6563E-03
-3.8343E-03,+200.9063E-03,-58.4688E-03,-51.9250E-03,+91.0938E-03
-3.8243E-03,+186.1875E-03,-71.4063E-03,-53.7063E-03,+86.1563E-03
-3.8143E-03,+174.5625E-03,-87.0313E-03,-53.2688E-03,+82.1563E-03
-3.8043E-03,+166.5313E-03,-100.8750E-03,-26.9875E-03,+72.7813E-03
-3.7943E-03,+150.0313E-03,-115.1563E-03,-4.6125E-03,+68.7500E-03
-3.7843E-03,+131.7188E-03,-132.5625E-03,-3.7063E-03,+66.9688E-03
-3.7743E-03,+116.0938E-03,-147.7500E-03,-3.2688E-03,+60.2813E-03
-3.7643E-03,+100.4688E-03,-162.0313E-03,-92.7688E-03,+54.4688E-03
-3.7543E-03,+84.8438E-03,-175.8750E-03,-163.0813E-03,+47.7813E-03
-3.7443E-03,+69.2188E-03,-186.5938E-03,-164.4250E-03,+38.4063E-03
-3.7343E-03,+55.3750E-03,-199.5313E-03,-166.2063E-03,+29.0313E-03
-3.7243E-03,+44.6563E-03,-211.5938E-03,-115.8938E-03,+23.2188E-03
-3.7143E-03,+33.5000E-03,-220.9688E-03,-35.9563E-03,+20.0938E-03
-3.7043E-03,+21.0000E-03,-230.3438E-03,-5.0500E-03,+15.1875E-03
-3.6943E-03,+12.0625E-03,-237.9375E-03,-5.0500E-03,+12.5000E-03
-3.6843E-03,+2.2500E-03,-244.1875E-03,-5.0500E-03,+12.5000E-03
-3.6743E-03,-1.3438E-03,-246.8750E-03,-140.4250E-03,+5.3750E-03
-3.6643E-03,-3.5625E-03,-248.6563E-03,-242.5500E-03,+5.3438E-03
-3.6543E-03,-9.8125E-03,-250.0000E-03,-240.7688E-03,+9.3750E-03
-3.6443E-03,-12.5000E-03,-246.4375E-03,-241.2063E-03,+7.5938E-03
-3.6343E-03,-12.5000E-03,-241.9688E-03,-108.9563E-03,+6.2500E-03
-3.6243E-03,-12.5000E-03,-237.0625E-03,-8.1750E-03,+9.8125E-03
-3.6143E-03,-7.1563E-03,-229.0313E-03,-8.1750E-03,+16.0625E-03
-3.6043E-03,-3.1250E-03,-221.4375E-03,-9.9563E-03,+15.1875E-03
-3.5943E-03,+4.0000E-03,-209.8438E-03,-121.7375E-03,+16.0625E-03
-3.5843E-03,+12.9375E-03,-196.0000E-03,-205.0500E-03,+22.3125E-03
-3.5743E-03,+22.7500E-03,-181.7188E-03,-208.6125E-03,+26.7813E-03
-3.5643E-03,+38.8125E-03,-169.6563E-03,-209.5188E-03,+35.2500E-03
-3.5543E-03,+50.4375E-03,-154.9375E-03,-94.1750E-03,+44.1875E-03
-3.5443E-03,+58.4688E-03,-139.7500E-03,-9.9563E-03,+54.0000E-03
-3.5343E-03,+67.8438E-03,-125.4688E-03,-9.5188E-03,+64.7188E-03
-3.5243E-03,+79.0000E-03,-109.8438E-03,-8.1750E-03,+72.3125E-03
-3.5143E-03,+91.5000E-03,-94.2188E-03,-54.4875E-03,+76.7813E-03
-3.5043E-03,+105.7813E-03,-82.1563E-03,-91.2063E-03,+78.1250E-03
-3.4943E-03,+116.0625E-03,-71.0000E-03,-92.5500E-03,+87.0313E-03
-3.4843E-03,+125.8750E-03,-60.2813E-03,-92.5500E-03,+95.5313E-03
-3.4743E-03,+134.8125E-03,-47.3438E-03,-44.4563E-03,+100.4375E-03
-3.4643E-03,+142.8438E-03,-35.2813E-03,-8.1750E-03,+104.9063E-03
-3.4543E-03,+150.4375E-03,-25.9063E-03,-6.3938E-03,+111.5938E-03
-3.4443E-03,+156.6875E-03,-18.3125E-03,-6.8313E-03,+120.9688E-03
-3.4343E-03,+161.1563E-03,-13.8438E-03,-9.9563E-03,+125.0000E-03
-3.4243E-03,+164.2813E-03,-10.7188E-03,-11.3000E-03,+123.2188E-03
-3.4143E-03,+165.6250E-03,-9.3750E-03,-9.5188E-03,+121.8750E-03
-3.4043E-03,+165.6250E-03,-7.5938E-03,-11.7375E-03,+123.6563E-03
-3.3943E-03,+165.6250E-03,-9.8125E-03,-7.3000E-03,+125.0000E-03
-3.3843E-03,+162.0625E-03,-14.2813E-03,-1.9250E-03,+119.6563E-03
-3.3743E-03,+155.8125E-03,-17.4063E-03,-1.9250E-03,+115.6250E-03
-3.3643E-03,+153.1250E-03,-22.3125E-03,-1.9250E-03,+115.6250E-03
-3.3543E-03,+147.7813E-03,-28.5625E-03,-19.7375E-03,+110.2813E-03
-3.3443E-03,+138.4063E-03,-38.3750E-03,-33.1750E-03,+104.4688E-03
-3.3343E-03,+132.5938E-03,-49.0938E-03,-34.9563E-03,+104.9063E-03
-3.3243E-03,+125.9063E-03,-60.2500E-03,-34.5188E-03,+100.9063E-03
-3.3143E-03,+114.7500E-03,-70.9688E-03,-26.0500E-03,+91.5313E-03
-3.3043E-03,+102.2500E-03,-82.1250E-03,-11.7688E-03,+83.9375E-03
-3.2943E-03,+91.5313E-03,-92.8438E-03,-5.0500E-03,+74.1250E-03
-3.2843E-03,+80.3750E-03,-102.2188E-03,-3.2688E-03,+65.1875E-03
-3.2743E-03,+69.6563E-03,-113.3750E-03,-3.7063E-03,+57.1563E-03
-3.2643E-03,+58.5000E-03,-125.8750E-03,-72.7375E-03,+53.1250E-03
-3.2543E-03,+47.7813E-03,-136.5938E-03,-123.8000E-03,+46.0000E-03
-3.2443E-03,+38.4063E-03,-145.9688E-03,-122.0188E-03,+37.0625E-03
-3.2343E-03,+27.2500E-03,-155.3438E-03,-120.6750E-03,+29.0313E-03
-3.2243E-03,+20.0938E-03,-161.1563E-03,-54.7688E-03,+21.4375E-03
-3.2143E-03,+13.4063E-03,-166.0625E-03,-6.8313E-03,+18.7500E-03
-3.2043E-03,+7.5938E-03,-172.3125E-03,-8.1750E-03,+16.9688E-03
-3.1943E-03,+2.6875E-03,-176.7813E-03,-6.3938E-03,+12.0625E-03
-3.1843E-03,-3.5625E-03,-178.1250E-03,-103.0188E-03,+5.8125E-03
-3.1743E-03,-8.0313E-03,-179.9063E-03,-175.1438E-03,+1.3438E-03
-3.1643E-03,-11.1563E-03,-183.0313E-03,-175.5813E-03,+7.1250E-03
-3.1543E-03,-12.5000E-03,-182.5938E-03,-176.9250E-03,+5.3750E-03
-3.1443E-03,-12.5000E-03,-177.6875E-03,-80.7375E-03,+3.5625E-03
-3.1343E-03,-14.2813E-03,-173.2188E-03,-8.1750E-03,+4.4688E-03
-3.1243E-03,-15.6250E-03,-166.5313E-03,-9.9563E-03,+8.4688E-03
-3.1143E-03,-12.0625E-03,-157.1563E-03,-9.5188E-03,+12.5000E-03
-3.1043E-03,-5.8125E-03,-147.7813E-03,-86.5500E-03,+12.5000E-03
-3.0943E-03,-3.1250E-03,-140.1875E-03,-145.6750E-03,+17.8438E-03
-3.0843E-03,+437.5E-06,-132.1563E-03,-145.6750E-03,+23.6563E-03
-3.0743E-03,+4.9063E-03,-122.7813E-03,-145.6750E-03,+26.7813E-03
-3.0643E-03,+9.8125E-03,-111.6250E-03,-67.3000E-03,+31.6875E-03
-3.0543E-03,+10.7188E-03,-100.9063E-03,-9.9563E-03,+36.1563E-03
-3.0443E-03,+14.7188E-03,-91.5313E-03,-9.5188E-03,+41.0625E-03
-3.0343E-03,+22.3125E-03,-78.5938E-03,-6.3938E-03,+47.3125E-03
-3.0243E-03,+25.0000E-03,-68.3125E-03,-38.8938E-03,+53.5625E-03
-3.0143E-03,+28.5625E-03,-58.5000E-03,-64.4250E-03,+58.0313E-03
-3.0043E-03,+31.2500E-03,-49.5625E-03,-62.6438E-03,+62.9375E-03
-2.9943E-03,+33.0313E-03,-43.3125E-03,-63.0813E-03,+65.6250E-03
-2.9843E-03,+36.1563E-03,-35.2813E-03,-32.3625E-03,+69.1875E-03
-2.9743E-03,+39.2813E-03,-25.9063E-03,-6.3938E-03,+77.2188E-03
-2.9643E-03,+42.4063E-03,-20.0938E-03,-5.0500E-03,+84.8125E-03
-2.9543E-03,+40.1875E-03,-15.1875E-03,-6.8313E-03,+85.7188E-03
-2.9443E-03,+35.7188E-03,-8.9375E-03,-8.1750E-03,+86.1563E-03
-2.9343E-03,+36.1563E-03,-6.2500E-03,-6.3938E-03,+89.2813E-03
-2.9243E-03,+35.7188E-03,-4.4688E-03,-6.8313E-03,+92.4063E-03
-2.9143E-03,+34.3750E-03,-4.9063E-03,-6.3938E-03,+90.1875E-03
-2.9043E-03,+34.3750E-03,-4.4688E-03,-6.8313E-03,+82.1563E-03
-2.8943E-03,+30.8125E-03,-4.9063E-03,-4.6125E-03,+78.1250E-03
-2.8843E-03,+26.3438E-03,-4.4688E-03,-1.9250E-03,+78.1250E-03
-2.8743E-03,+21.4375E-03,-4.9063E-03,-1.9250E-03,+78.1250E-03
-2.8643E-03,+16.9688E-03,-6.2500E-03,+3.4188E-03,+74.5625E-03
-2.8543E-03,+13.8438E-03,-9.8125E-03,-3.2375E-03,+71.8750E-03
-2.8443E-03,+12.5000E-03,-14.2813E-03,-11.3000E-03,+66.5313E-03
-2.8343E-03,+8.9375E-03,-19.1875E-03,-13.0813E-03,+62.5000E-03
-2.8243E-03,+2.6875E-03,-21.8750E-03,-12.6438E-03,+58.9375E-03
-2.8143E-03,-1.7813E-03,-25.4375E-03,-5.9563E-03,+54.4688E-03
-2.8043E-03,-6.6875E-03,-31.6875E-03,-1.9250E-03,+49.5625E-03
-2.7943E-03,-9.3750E-03,-36.1563E-03,-3.7063E-03,+45.0938E-03
-2.7843E-03,-11.1563E-03,-35.7188E-03,-3.2688E-03,+41.9688E-03
-2.7743E-03,-10.7188E-03,-41.5000E-03,-21.5188E-03,+35.2813E-03
-2.7643E-03,-11.1563E-03,-45.0938E-03,-39.8625E-03,+29.4688E-03
-2.7543E-03,-14.2813E-03,-47.3125E-03,-40.7688E-03,+28.1250E-03
-2.7443E-03,-17.4063E-03,-51.7813E-03,-37.6438E-03,+19.2188E-03
-2.7343E-03,-16.9688E-03,-51.3438E-03,-20.2688E-03,+14.2813E-03
-2.7243E-03,-17.4063E-03,-50.0000E-03,-6.3938E-03,+12.0625E-03
-2.7143E-03,-16.9688E-03,-50.0000E-03,-5.0500E-03,+7.5938E-03
-2.7043E-03,-13.8438E-03,-51.7813E-03,-3.2688E-03,+4.4688E-03
-2.6943E-03,-16.0625E-03,-51.3438E-03,-26.8625E-03,+4.9063E-03
-2.6843E-03,-16.9688E-03,-46.4375E-03,-45.6750E-03,+2.6875E-03
-2.6743E-03,-15.6250E-03,-43.7500E-03,-47.4563E-03,+0.0E+00
-2.6643E-03,-15.6250E-03,-41.9688E-03,-47.0188E-03,+0.0E+00
-2.6543E-03,-15.6250E-03,-38.8438E-03,-22.5188E-03,+0.0E+00
-2.6443E-03,-15.6250E-03,-37.5000E-03,-5.0500E-03,+1.7813E-03
-2.6343E-03,-13.8438E-03,-35.7188E-03,-5.0500E-03,-437.5E-06
-2.6243E-03,-14.2813E-03,-30.8125E-03,-3.2688E-03,-1.3438E-03
-2.6143E-03,-15.6250E-03,-26.3438E-03,-14.3938E-03,+3.5625E-03
-2.6043E-03,-17.4063E-03,-23.2188E-03,-23.8000E-03,+6.2500E-03
-2.5943E-03,-18.7500E-03,-20.0938E-03,-25.5813E-03,+2.6875E-03
-2.5843E-03,-20.5313E-03,-18.7500E-03,-26.9250E-03,+3.5625E-03
-2.5743E-03,-20.0938E-03,-15.1875E-03,-16.2375E-03,+4.4688E-03
-2.5643E-03,-24.0938E-03,-10.7188E-03,-6.3938E-03,+10.2500E-03
-2.5543E-03,-31.6875E-03,-7.5938E-03,-5.0500E-03,+13.8438E-03
-2.5443E-03,-36.1563E-03,-6.2500E-03,-5.0500E-03,+10.7188E-03
-2.5343E-03,-41.0625E-03,-4.4688E-03,-3.2688E-03,+14.7188E-03
-2.5243E-03,-47.3125E-03,-1.3438E-03,-1.9250E-03,+16.9688E-03
-2.5143E-03,-55.3438E-03,+0.0E+00,-3.7063E-03,+17.4063E-03
-2.5043E-03,-61.1563E-03,+0.0E+00,-3.2688E-03,+18.7500E-03
-2.4943E-03,-66.0625E-03,+0.0E+00,-5.4875E-03,+22.3125E-03
-2.4843E-03,-72.3125E-03,+1.7813E-03,-4.6125E-03,+21.4375E-03
-2.4743E-03,-78.5625E-03,+3.1250E-03,-3.7063E-03,+18.7500E-03
-2.4643E-03,-84.8125E-03,+1.3438E-03,-3.2688E-03,+22.3125E-03
-2.4543E-03,-92.8438E-03,+1.7813E-03,+14.1063E-03,+23.2188E-03
-2.4443E-03,-100.4375E-03,+3.1250E-03,+11.9500E-03,+20.0938E-03
-2.4343E-03,-106.6875E-03,+3.1250E-03,+1.2000E-03,+22.3125E-03
-2.4243E-03,-111.1563E-03,+3.1250E-03,+1.2000E-03,+19.6563E-03
-2.4143E-03,-119.6250E-03,+3.1250E-03,+4.7625E-03,+13.8438E-03
-2.4043E-03,-121.4375E-03,+3.1250E-03,+2.1063E-03,+14.2813E-03
-2.3943E-03,-124.0938E-03,+4.9063E-03,-143.7E-06,+13.8438E-03
-2.3843E-03,-128.1250E-03,+6.2500E-03,-581.2E-06,+12.5000E-03
-2.3743E-03,-128.1250E-03,+6.2500E-03,-1.9250E-03,+12.5000E-03
-2.3643E-03,-129.9063E-03,+8.0313E-03,+3.4188E-03,+8.9375E-03
-2.3543E-03,-129.4688E-03,+12.9375E-03,+7.4500E-03,+8.0313E-03
-2.3443E-03,-126.3438E-03,+13.8438E-03,+9.2313E-03,+9.3750E-03
-2.3343E-03,-125.0000E-03,+17.8438E-03,+10.5750E-03,+7.5938E-03
-2.3243E-03,-121.4375E-03,+21.8750E-03,+3.4500E-03,+906.3E-06
-2.3143E-03,-116.9688E-03,+25.4375E-03,-1.9250E-03,-3.1250E-03
-2.3043E-03,-112.0625E-03,+29.9063E-03,-1.9250E-03,-4.9063E-03
-2.2943E-03,-104.0313E-03,+36.5938E-03,-3.7063E-03,-4.4688E-03
-2.2843E-03,-98.2188E-03,+42.4063E-03,+21.6688E-03,-3.1250E-03
-2.2743E-03,-91.5313E-03,+49.0938E-03,+41.8250E-03,-4.9063E-03
-2.2643E-03,-80.3750E-03,+53.1250E-03,+41.8250E-03,-8.0313E-03
-2.2543E-03,-73.2188E-03,+60.2500E-03,+43.6063E-03,-5.8125E-03
