x-axis,B,2,3,4
second,Volt,Volt,Volt,Volt
-980.000E-06,-197.550002E-03,+90.749999E-03,-1.875000E-03,+87.475001E-03
-978.000E-06,-200.675002E-03,+96.999999E-03,+1.250000E-03,+84.350001E-03
-976.000E-06,-194.425002E-03,+90.749999E-03,-1.875000E-03,+84.350001E-03
-974.000E-06,-194.425002E-03,+103.249999E-03,-1.875000E-03,+87.475001E-03
-972.000E-06,-194.425002E-03,+96.999999E-03,-5.000000E-03,+82.787501E-03
-970.000E-06,-191.300002E-03,+103.249999E-03,-1.875000E-03,+85.912501E-03
-968.000E-06,-191.300002E-03,+115.749999E-03,-5.000000E-03,+79.662501E-03
-966.000E-06,-194.425002E-03,+109.499999E-03,-5.000000E-03,+89.037501E-03
-964.000E-06,-194.425002E-03,+109.499999E-03,-5.000000E-03,+78.100001E-03
-962.000E-06,-191.300002E-03,+115.749999E-03,-5.000000E-03,+79.662501E-03
-960.000E-06,-188.175002E-03,+109.499999E-03,+116.875001E-03,+73.412501E-03
-958.000E-06,-188.175002E-03,+109.499999E-03,+120.000002E-03,+79.662501E-03
-956.000E-06,-188.175002E-03,+122.000000E-03,+120.000002E-03,+78.100001E-03
-954.000E-06,-188.175002E-03,+122.000000E-03,+123.125002E-03,+79.662501E-03
-952.000E-06,-185.050002E-03,+122.000000E-03,+123.125002E-03,+76.537501E-03
-950.000E-06,-178.800002E-03,+128.250000E-03,+129.375002E-03,+73.412501E-03
-948.000E-06,-178.800002E-03,+128.250000E-03,+132.500002E-03,+73.412501E-03
-946.000E-06,-178.800002E-03,+134.500000E-03,+129.375002E-03,+74.975001E-03
-944.000E-06,-175.675002E-03,+134.500000E-03,+132.500002E-03,+79.662501E-03
-942.000E-06,-175.675002E-03,+134.500000E-03,+138.750002E-03,+67.162501E-03
-940.000E-06,-172.550002E-03,+140.750000E-03,+135.625002E-03,+67.162501E-03
-938.000E-06,-175.675002E-03,+134.500000E-03,+138.750002E-03,+71.850001E-03
-936.000E-06,-172.550002E-03,+134.500000E-03,+138.750002E-03,+71.850001E-03
-934.000E-06,-172.550002E-03,+140.750000E-03,+141.875002E-03,+64.037501E-03
-932.000E-06,-169.425002E-03,+147.000000E-03,+145.000002E-03,+67.162501E-03
-930.000E-06,-169.425002E-03,+147.000000E-03,+145.000002E-03,+64.037501E-03
-928.000E-06,-163.175002E-03,+153.250000E-03,+145.000002E-03,+62.475001E-03
-926.000E-06,-166.300002E-03,+147.000000E-03,+148.125002E-03,+67.162501E-03
-924.000E-06,-163.175002E-03,+153.250000E-03,+151.250002E-03,+67.162501E-03
-922.000E-06,-160.050001E-03,+147.000000E-03,+154.375002E-03,+60.912501E-03
-920.000E-06,-156.925001E-03,+153.250000E-03,+154.375002E-03,+57.787501E-03
-918.000E-06,-156.925001E-03,+153.250000E-03,+154.375002E-03,+60.912501E-03
-916.000E-06,-156.925001E-03,+159.500000E-03,+157.500002E-03,+56.225001E-03
-914.000E-06,-156.925001E-03,+153.250000E-03,+160.625002E-03,+57.787501E-03
-912.000E-06,-156.925001E-03,+165.750000E-03,+163.750002E-03,+57.787501E-03
-910.000E-06,-153.800001E-03,+165.750000E-03,+160.625002E-03,+57.787501E-03
-908.000E-06,-144.425001E-03,+165.750000E-03,+163.750002E-03,+45.287501E-03
-906.000E-06,-147.550001E-03,+165.750000E-03,+166.875002E-03,+60.912501E-03
-904.000E-06,-144.425001E-03,+165.750000E-03,+163.750002E-03,+51.537501E-03
-902.000E-06,-141.300001E-03,+165.750000E-03,+170.000002E-03,+48.412501E-03
-900.000E-06,-141.300001E-03,+172.000000E-03,+170.000002E-03,+46.850001E-03
-898.000E-06,-141.300001E-03,+165.750000E-03,+170.000002E-03,+51.537501E-03
-896.000E-06,-135.050001E-03,+272.000002E-03,+54.375001E-03,+45.287501E-03
-894.000E-06,-138.175001E-03,+178.250000E-03,+4.375000E-03,+49.975001E-03
-892.000E-06,-135.050001E-03,+178.250000E-03,+4.375000E-03,+45.287501E-03
-890.000E-06,-141.300001E-03,+172.000000E-03,+4.375000E-03,+37.475001E-03
-888.000E-06,-128.800001E-03,+178.250000E-03,+4.375000E-03,+43.725001E-03
-886.000E-06,-125.675001E-03,+178.250000E-03,+4.375000E-03,+43.725001E-03
-884.000E-06,-122.550001E-03,+178.250000E-03,+4.375000E-03,+37.475001E-03
