x-axis,B,2,3,4
second,Volt,Volt,Volt,Volt
-100.0000E-06,+380.0000064E-03,-88.5000005E-03,-1.5625000E-03,-99.9998E-06
-99.8000E-06,+367.5000062E-03,-151.0000005E-03,-0.0E+00,-99.9998E-06
-99.6000E-06,+361.2500061E-03,-26.0000005E-03,-1.5625000E-03,-6.3499999E-03
-99.4000E-06,+367.5000062E-03,-88.5000005E-03,-0.0E+00,+6.1500003E-03
-99.2000E-06,+361.2500061E-03,-26.0000005E-03,-1.5625000E-03,-99.9998E-06
-99.0000E-06,+355.0000060E-03,-88.5000005E-03,-1.5625000E-03,-6.3499999E-03
-98.8000E-06,+355.0000060E-03,-88.5000005E-03,-1.5625000E-03,-99.9998E-06
-98.6000E-06,+348.7500059E-03,-88.5000005E-03,-1.5625000E-03,-99.9998E-06
-98.4000E-06,+348.7500059E-03,-88.5000005E-03,-1.5625000E-03,-99.9998E-06
-98.2000E-06,+336.2500058E-03,-88.5000005E-03,+1.5625000E-03,+6.1500003E-03
-98.0000E-06,+342.5000058E-03,-88.5000005E-03,-0.0E+00,-99.9998E-06
-97.8000E-06,+336.2500058E-03,-88.5000005E-03,-1.5625000E-03,-99.9998E-06
-97.6000E-06,+330.0000057E-03,-88.5000005E-03,+0.0E+00,-6.3499999E-03
-97.4000E-06,+336.2500058E-03,-26.0000005E-03,+0.0E+00,-6.3499999E-03
-97.2000E-06,+330.0000057E-03,-88.5000005E-03,+0.0E+00,-99.9998E-06
-97.0000E-06,+330.0000057E-03,-151.0000005E-03,-0.0E+00,-99.9998E-06
-96.8000E-06,+323.7500056E-03,-26.0000005E-03,-1.5625000E-03,-6.3499999E-03
-96.6000E-06,+317.5000055E-03,-151.0000005E-03,+0.0E+00,-12.6000000E-03
-96.4000E-06,+311.2500054E-03,-88.5000005E-03,+0.0E+00,-6.3499999E-03
-96.2000E-06,+311.2500054E-03,-88.5000005E-03,+0.0E+00,-6.3499999E-03
-96.0000E-06,+311.2500054E-03,-88.5000005E-03,+0.0E+00,-99.9998E-06
-95.8000E-06,+305.0000053E-03,-88.5000005E-03,+0.0E+00,+6.1500003E-03
-95.6000E-06,+298.7500052E-03,-88.5000005E-03,-0.0E+00,-99.9998E-06
-95.4000E-06,+298.7500052E-03,-26.0000005E-03,-1.5625000E-03,-99.9998E-06
-95.2000E-06,+292.5000051E-03,-88.5000005E-03,-1.5625000E-03,-6.3499999E-03
-95.0000E-06,+286.2500050E-03,-26.0000005E-03,+0.0E+00,-99.9998E-06
