x-axis,B,2,3,4
second,Volt,Volt,Volt,Volt
-8.60000E-03,+258.75000E-03,-417.50000E-03,-13.12500E-03,+199.95000E-03
-8.58000E-03,+261.87500E-03,-417.50000E-03,-416.25001E-03,+190.57500E-03
-8.56000E-03,+265.00000E-03,-423.75000E-03,-419.37501E-03,+199.95000E-03
-8.54000E-03,+268.12500E-03,-430.00000E-03,-425.62501E-03,+196.82500E-03
-8.52000E-03,+271.25000E-03,-430.00000E-03,-428.75001E-03,+203.07500E-03
-8.50000E-03,+274.37500E-03,-442.50000E-03,-19.37500E-03,+196.82500E-03
-8.48000E-03,+280.62500E-03,-436.25000E-03,-16.25000E-03,+206.20000E-03
-8.46000E-03,+283.75000E-03,-436.25000E-03,-13.12500E-03,+206.20000E-03
-8.44000E-03,+283.75000E-03,-448.75000E-03,-441.25001E-03,+206.20000E-03
-8.42000E-03,+286.87500E-03,-455.00000E-03,-444.37501E-03,+206.20000E-03
-8.40000E-03,+293.12500E-03,-461.25000E-03,-447.50001E-03,+212.45000E-03
-8.38000E-03,+296.25000E-03,-461.25000E-03,-28.75000E-03,+206.20000E-03
-8.36000E-03,+296.25000E-03,-467.50000E-03,-19.37500E-03,+212.45000E-03
-8.34000E-03,+302.50000E-03,-467.50000E-03,-16.25000E-03,+218.70000E-03
-8.32000E-03,+305.62500E-03,-467.50000E-03,-13.12500E-03,+218.70000E-03
-8.30000E-03,+311.87501E-03,-473.75000E-03,-472.50001E-03,+221.82500E-03
-8.28000E-03,+315.00001E-03,-473.75000E-03,-472.50001E-03,+231.20000E-03
-8.26000E-03,+311.87501E-03,-486.25000E-03,-475.62501E-03,+224.95000E-03
-8.24000E-03,+308.75000E-03,-492.50000E-03,-25.62500E-03,+224.95000E-03
-8.22000E-03,+305.62500E-03,-492.50000E-03,-19.37500E-03,+224.95000E-03
-8.20000E-03,+299.37500E-03,-492.50000E-03,-16.25000E-03,+228.07500E-03
-8.18000E-03,+293.12500E-03,-505.00000E-03,-491.25001E-03,+228.07500E-03
-8.16000E-03,+293.12500E-03,-505.00000E-03,-497.50001E-03,+240.57500E-03
-8.14000E-03,+290.00000E-03,-505.00000E-03,-500.62501E-03,+240.57500E-03
-8.12000E-03,+283.75000E-03,-511.25000E-03,-500.62501E-03,+243.70000E-03
-8.10000E-03,+277.50000E-03,-517.50000E-03,-25.62500E-03,+237.45000E-03
-8.08000E-03,+274.37500E-03,-523.75000E-03,-22.50000E-03,+240.57500E-03
-8.06000E-03,+274.37500E-03,-530.00000E-03,-16.25000E-03,+246.82500E-03
-8.04000E-03,+271.25000E-03,-530.00000E-03,-510.00001E-03,+246.82500E-03
-8.02000E-03,+265.00000E-03,-523.75000E-03,-519.37501E-03,+253.07500E-03
-8.00000E-03,+261.87500E-03,-523.75000E-03,-510.00001E-03,+253.07500E-03
-7.98000E-03,+258.75000E-03,-517.50000E-03,-28.75000E-03,+253.07500E-03
-7.96000E-03,+255.62500E-03,-517.50000E-03,-22.50000E-03,+253.07500E-03
-7.94000E-03,+246.25000E-03,-498.75000E-03,-16.25000E-03,+256.20000E-03
-7.92000E-03,+243.12500E-03,-498.75000E-03,-13.12500E-03,+256.20000E-03
-7.90000E-03,+243.12500E-03,-498.75000E-03,-488.12501E-03,+262.45000E-03
-7.88000E-03,+240.00000E-03,-492.50000E-03,-481.87501E-03,+268.70000E-03
-7.86000E-03,+233.75000E-03,-492.50000E-03,-485.00001E-03,+271.82500E-03
-7.84000E-03,+233.75000E-03,-492.50000E-03,-25.62500E-03,+262.45000E-03
-7.82000E-03,+227.50000E-03,-486.25000E-03,-19.37500E-03,+265.57500E-03
-7.80000E-03,+227.50000E-03,-480.00000E-03,-16.25000E-03,+262.45000E-03
-7.78000E-03,+224.37500E-03,-473.75000E-03,-466.25001E-03,+265.57500E-03
-7.76000E-03,+221.25000E-03,-473.75000E-03,-460.00001E-03,+268.70000E-03
-7.74000E-03,+211.87500E-03,-461.25000E-03,-456.87501E-03,+274.95000E-03
