second,Volt1,Volt2,Volt3,Volt4
-2.150000E-03,+61.250002E-03,-258.750004E-03,-253.125004E-03,+37.400001E-03
-2.145000E-03,+61.250002E-03,-258.750004E-03,-256.250004E-03,+43.650001E-03
-2.140000E-03,+61.250002E-03,-252.500004E-03,-253.125004E-03,+49.900001E-03
-2.135000E-03,+55.000002E-03,-183.750003E-03,-265.625004E-03,+49.900001E-03
-2.130000E-03,+42.500001E-03,-258.750004E-03,-9.375000E-03,+49.900001E-03
-2.125000E-03,+48.750001E-03,-258.750004E-03,-12.500000E-03,+68.650001E-03
-2.120000E-03,+30.000001E-03,-265.000004E-03,-9.375000E-03,+56.150001E-03
-2.115000E-03,+23.750001E-03,-258.750004E-03,-9.375000E-03,+68.650001E-03
-2.110000E-03,+23.750001E-03,-246.250004E-03,-84.375001E-03,+56.150001E-03
-2.105000E-03,+17.500001E-03,-258.750004E-03,-253.125004E-03,+68.650001E-03
-2.100000E-03,+11.250001E-03,-265.000004E-03,-253.125004E-03,+74.900001E-03
-2.095000E-03,+5.000001E-03,-252.500004E-03,-253.125004E-03,+74.900001E-03
-2.090000E-03,-1.249999E-03,-258.750004E-03,-246.875004E-03,+68.650001E-03
-2.085000E-03,+5.000001E-03,-196.250003E-03,-256.250004E-03,+87.400001E-03
-2.080000E-03,-7.499999E-03,-252.500004E-03,-15.625000E-03,+81.150001E-03
-2.075000E-03,-13.749999E-03,-258.750004E-03,-9.375000E-03,+87.400001E-03
-2.070000E-03,-20.000000E-03,-246.250004E-03,-9.375000E-03,+74.900001E-03
-2.065000E-03,-26.250000E-03,-252.500004E-03,-9.375000E-03,+87.400001E-03
-2.060000E-03,-32.500000E-03,-246.250004E-03,-171.875003E-03,+87.400001E-03
-2.055000E-03,-32.500000E-03,-246.250004E-03,-240.625004E-03,+99.900002E-03
-2.050000E-03,-45.000000E-03,-246.250004E-03,-237.500004E-03,+99.900002E-03
-2.045000E-03,-45.000000E-03,-240.000003E-03,-237.500004E-03,+99.900002E-03
-2.040000E-03,-57.500000E-03,-233.750003E-03,-234.375003E-03,+99.900002E-03
-2.035000E-03,-57.500000E-03,-202.500003E-03,-234.375003E-03,+99.900002E-03
-2.030000E-03,-63.750000E-03,-227.500003E-03,-12.500000E-03,+112.400002E-03
-2.025000E-03,-82.500000E-03,-227.500003E-03,-12.500000E-03,+106.150002E-03
-2.020000E-03,-76.250000E-03,-227.500003E-03,-12.500000E-03,+106.150002E-03
-2.015000E-03,-70.000000E-03,-227.500003E-03,-9.375000E-03,+112.400002E-03
-2.010000E-03,-57.500000E-03,-227.500003E-03,-184.375003E-03,+106.150002E-03
-2.005000E-03,-57.500000E-03,-215.000003E-03,-212.500003E-03,+118.650002E-03
-2.000000E-03,-51.250000E-03,-221.250003E-03,-212.500003E-03,+118.650002E-03
-1.995000E-03,-45.000000E-03,-208.750003E-03,-206.250003E-03,+124.900002E-03
-1.990000E-03,-38.750000E-03,-208.750003E-03,-203.125003E-03,+124.900002E-03
-1.985000E-03,-32.500000E-03,-196.250003E-03,-203.125003E-03,+124.900002E-03
-1.980000E-03,-20.000000E-03,-202.500003E-03,-12.500000E-03,+124.900002E-03
-1.975000E-03,-13.749999E-03,-190.000003E-03,-9.375000E-03,+124.900002E-03
-1.970000E-03,-13.749999E-03,-190.000003E-03,-9.375000E-03,+118.650002E-03
-1.965000E-03,-7.499999E-03,-183.750003E-03,-9.375000E-03,+124.900002E-03
-1.960000E-03,-1.249999E-03,-190.000003E-03,-175.000003E-03,+124.900002E-03
-1.955000E-03,+5.000001E-03,-177.500003E-03,-175.000003E-03,+131.150002E-03
-1.950000E-03,+11.250001E-03,-171.250002E-03,-171.875003E-03,+131.150002E-03
-1.945000E-03,+11.250001E-03,-171.250002E-03,-165.625002E-03,+124.900002E-03
-1.940000E-03,+17.500001E-03,-158.750002E-03,-162.500002E-03,+131.150002E-03
-1.935000E-03,+23.750001E-03,-171.250002E-03,-171.875003E-03,+118.650002E-03
-1.930000E-03,+23.750001E-03,-152.500002E-03,-6.250000E-03,+137.400002E-03
-1.925000E-03,+30.000001E-03,-146.250002E-03,-9.375000E-03,+137.400002E-03
-1.920000E-03,+36.250001E-03,-146.250002E-03,-6.250000E-03,+131.150002E-03
-1.915000E-03,+48.750001E-03,-140.000002E-03,-9.375000E-03,+131.150002E-03
-1.910000E-03,+48.750001E-03,-140.000002E-03,-137.500002E-03,+137.400002E-03
-1.905000E-03,+48.750001E-03,-133.750002E-03,-125.000002E-03,+137.400002E-03
-1.900000E-03,+61.250002E-03,-127.500002E-03,-121.875002E-03,+124.900002E-03
-1.895000E-03,+67.500002E-03,-115.000002E-03,-118.750002E-03,+137.400002E-03
-1.890000E-03,+67.500002E-03,-115.000002E-03,-112.500002E-03,+131.150002E-03
-1.885000E-03,+73.750002E-03,-133.750002E-03,-134.375002E-03,+137.400002E-03
-1.880000E-03,+73.750002E-03,-102.500001E-03,-6.250000E-03,+137.400002E-03
-1.875000E-03,+86.250002E-03,-96.250001E-03,-6.250000E-03,+131.150002E-03
-1.870000E-03,+86.250002E-03,-90.000001E-03,-6.250000E-03,+137.400002E-03
-1.865000E-03,+92.500002E-03,-90.000001E-03,-6.250000E-03,+131.150002E-03
-1.860000E-03,+92.500002E-03,-71.250001E-03,-84.375001E-03,+137.400002E-03
-1.855000E-03,+98.750002E-03,-83.750001E-03,-75.000001E-03,+131.150002E-03
-1.850000E-03,+105.000002E-03,-71.250001E-03,-75.000001E-03,+137.400002E-03
-1.845000E-03,+111.250002E-03,-58.750001E-03,-65.625001E-03,+124.900002E-03
-1.840000E-03,+111.250002E-03,-58.750001E-03,-65.625001E-03,+131.150002E-03
-1.835000E-03,+117.500002E-03,-90.000001E-03,-100.000001E-03,+118.650002E-03
-1.830000E-03,+117.500002E-03,-52.500001E-03,-6.250000E-03,+131.150002E-03
-1.825000E-03,+130.000003E-03,-46.250001E-03,-6.250000E-03,+124.900002E-03
-1.820000E-03,+130.000003E-03,-52.500001E-03,-6.250000E-03,+124.900002E-03
-1.815000E-03,+130.000003E-03,-46.250001E-03,-6.250000E-03,+118.650002E-03
-1.810000E-03,+130.000003E-03,-33.750000E-03,-34.375001E-03,+124.900002E-03
-1.805000E-03,+136.250003E-03,-46.250001E-03,-40.625001E-03,+124.900002E-03
-1.800000E-03,+136.250003E-03,-40.000001E-03,-40.625001E-03,+118.650002E-03
-1.795000E-03,+136.250003E-03,-27.500000E-03,-37.500001E-03,+118.650002E-03
-1.790000E-03,+148.750003E-03,-40.000001E-03,-34.375001E-03,+118.650002E-03
-1.785000E-03,+148.750003E-03,-65.000001E-03,-84.375001E-03,+112.400002E-03
-1.780000E-03,+155.000003E-03,-40.000001E-03,-6.250000E-03,+118.650002E-03
-1.775000E-03,+155.000003E-03,-40.000001E-03,-6.250000E-03,+106.150002E-03
-1.770000E-03,+155.000003E-03,-46.250001E-03,-3.125000E-03,+112.400002E-03
-1.765000E-03,+155.000003E-03,-33.750000E-03,-6.250000E-03,+106.150002E-03
-1.760000E-03,+155.000003E-03,-21.250000E-03,-25.000000E-03,+112.400002E-03
-1.755000E-03,+161.250003E-03,-46.250001E-03,-43.750001E-03,+99.900002E-03
-1.750000E-03,+167.500003E-03,-58.750001E-03,-46.875001E-03,+93.650002E-03
-1.745000E-03,+167.500003E-03,-46.250001E-03,-53.125001E-03,+106.150002E-03
-1.740000E-03,+161.250003E-03,-58.750001E-03,-59.375001E-03,+99.900002E-03
-1.735000E-03,+167.500003E-03,-83.750001E-03,-90.625001E-03,+99.900002E-03
-1.730000E-03,+167.500003E-03,-71.250001E-03,-3.125000E-03,+99.900002E-03
-1.725000E-03,+167.500003E-03,-77.500001E-03,-6.250000E-03,+93.650002E-03
-1.720000E-03,+167.500003E-03,-77.500001E-03,-3.125000E-03,+93.650002E-03
-1.715000E-03,+167.500003E-03,-83.750001E-03,-0.0E+00,+93.650002E-03
-1.710000E-03,+173.750003E-03,-65.000001E-03,-65.625001E-03,+81.150001E-03
-1.705000E-03,+173.750003E-03,-96.250001E-03,-90.625001E-03,+87.400001E-03
-1.700000E-03,+173.750003E-03,-102.500001E-03,-103.125002E-03,+74.900001E-03
-1.695000E-03,+167.500003E-03,-108.750002E-03,-106.250002E-03,+87.400001E-03
-1.690000E-03,+173.750003E-03,-108.750002E-03,-115.625002E-03,+74.900001E-03
-1.685000E-03,+173.750003E-03,-140.000002E-03,-121.875002E-03,+68.650001E-03
-1.680000E-03,+180.000003E-03,-133.750002E-03,-6.250000E-03,+68.650001E-03
-1.675000E-03,+161.250003E-03,-127.500002E-03,-6.250000E-03,+74.900001E-03
-1.670000E-03,+167.500003E-03,-146.250002E-03,-6.250000E-03,+56.150001E-03
-1.665000E-03,+167.500003E-03,-146.250002E-03,-6.250000E-03,+68.650001E-03
-1.660000E-03,+173.750003E-03,-127.500002E-03,-134.375002E-03,+56.150001E-03
-1.655000E-03,+167.500003E-03,-152.500002E-03,-156.250002E-03,+56.150001E-03
-1.650000E-03,+167.500003E-03,-165.000002E-03,-159.375002E-03,+56.150001E-03
-1.645000E-03,+167.500003E-03,-171.250002E-03,-162.500002E-03,+62.400001E-03
-1.640000E-03,+161.250003E-03,-177.500003E-03,-168.750003E-03,+43.650001E-03
-1.635000E-03,+155.000003E-03,-196.250003E-03,-150.000002E-03,+49.900001E-03
-1.630000E-03,+161.250003E-03,-183.750003E-03,-6.250000E-03,+49.900001E-03
-1.625000E-03,+161.250003E-03,-190.000003E-03,-6.250000E-03,+49.900001E-03
-1.620000E-03,+155.000003E-03,-190.000003E-03,-6.250000E-03,+37.400001E-03
-1.615000E-03,+161.250003E-03,-196.250003E-03,-6.250000E-03,+43.650001E-03
-1.610000E-03,+148.750003E-03,-183.750003E-03,-184.375003E-03,+37.400001E-03
-1.605000E-03,+148.750003E-03,-208.750003E-03,-200.000003E-03,+37.400001E-03
