second,Volt1,Volt2,Volt3,Volt4
-4.30000E-03,-78.75000E-03,+1.87500E-03,-21.87500E-03,-3.17500E-03
-4.29000E-03,-78.75000E-03,-1.25000E-03,-3.12500E-03,+6.20000E-03
-4.28000E-03,-78.75000E-03,-1.25000E-03,-3.12500E-03,-50.00E-06
-4.27000E-03,-78.75000E-03,-1.25000E-03,-3.12500E-03,+9.32500E-03
-4.26000E-03,-72.50000E-03,-1.25000E-03,-6.25000E-03,-50.00E-06
-4.25000E-03,-75.62500E-03,-1.25000E-03,-21.87500E-03,-50.00E-06
-4.24000E-03,-69.37500E-03,-4.37500E-03,-3.12500E-03,-6.30000E-03
-4.23000E-03,-72.50000E-03,-4.37500E-03,-3.12500E-03,+6.20000E-03
-4.22000E-03,-69.37500E-03,-4.37500E-03,-6.25000E-03,-3.17500E-03
-4.21000E-03,-66.25000E-03,-7.50000E-03,-6.25000E-03,-50.00E-06
-4.20000E-03,-66.25000E-03,-4.37500E-03,-15.62500E-03,+3.07500E-03
-4.19000E-03,-63.12500E-03,-7.50000E-03,-0.0E+00,-3.17500E-03
-4.18000E-03,-60.00000E-03,-4.37500E-03,-6.25000E-03,-12.55000E-03
-4.17000E-03,-60.00000E-03,-4.37500E-03,-3.12500E-03,-50.00E-06
-4.16000E-03,-56.87500E-03,-7.50000E-03,-9.37500E-03,-3.17500E-03
-4.15000E-03,-53.75000E-03,-7.50000E-03,-12.50000E-03,+3.07500E-03
-4.14000E-03,-56.87500E-03,-7.50000E-03,-6.25000E-03,-50.00E-06
-4.13000E-03,-53.75000E-03,-10.62500E-03,-6.25000E-03,-50.00E-06
-4.12000E-03,-50.62500E-03,-13.75000E-03,-6.25000E-03,-12.55000E-03
-4.11000E-03,-47.50000E-03,-10.62500E-03,-9.37500E-03,-6.30000E-03
-4.10000E-03,-44.37500E-03,-13.75000E-03,-12.50000E-03,-3.17500E-03
-4.09000E-03,-47.50000E-03,-13.75000E-03,-3.12500E-03,-6.30000E-03
-4.08000E-03,-38.12500E-03,-16.87500E-03,-3.12500E-03,-6.30000E-03
-4.07000E-03,-41.25000E-03,-20.00000E-03,-15.62500E-03,-6.30000E-03
-4.06000E-03,-35.00000E-03,-16.87500E-03,-18.75000E-03,+3.07500E-03
-4.05000E-03,-35.00000E-03,-16.87500E-03,-12.50000E-03,-50.00E-06
-4.04000E-03,-28.75000E-03,-20.00000E-03,-3.12500E-03,-3.17500E-03
-4.03000E-03,-28.75000E-03,-23.12500E-03,-3.12500E-03,-50.00E-06
-4.02000E-03,-28.75000E-03,-20.00000E-03,-25.00000E-03,-12.55000E-03
-4.01000E-03,-25.62500E-03,-26.25000E-03,-28.12500E-03,-50.00E-06
-4.00000E-03,-25.62500E-03,-23.12500E-03,-12.50000E-03,-12.55000E-03
-3.99000E-03,-19.37500E-03,-26.25000E-03,-6.25000E-03,-6.30000E-03
-3.98000E-03,-16.25000E-03,-29.37500E-03,-6.25000E-03,-3.17500E-03
-3.97000E-03,-10.00000E-03,-29.37500E-03,-31.25000E-03,-3.17500E-03
-3.96000E-03,-10.00000E-03,-32.50000E-03,-34.37500E-03,-50.00E-06
-3.95000E-03,-13.12500E-03,-35.62500E-03,-15.62500E-03,+6.20000E-03
-3.94000E-03,-6.87500E-03,-38.75000E-03,-6.25000E-03,-9.42500E-03
-3.93000E-03,-625.00E-06,-38.75000E-03,-6.25000E-03,-3.17500E-03
-3.92000E-03,+5.62500E-03,-41.87500E-03,-40.62500E-03,-6.30000E-03
-3.91000E-03,+5.62500E-03,-41.87500E-03,-43.75000E-03,-6.30000E-03
-3.90000E-03,+5.62500E-03,-41.87500E-03,-12.50000E-03,+3.07500E-03
-3.89000E-03,+8.75000E-03,-45.00000E-03,-6.25000E-03,+3.07500E-03
-3.88000E-03,+15.00000E-03,-54.37500E-03,-3.12500E-03,+3.07500E-03
-3.87000E-03,+15.00000E-03,-54.37500E-03,-50.00000E-03,+3.07500E-03
-3.86000E-03,+21.25000E-03,-51.25000E-03,-56.25000E-03,+12.45000E-03
-3.85000E-03,+24.37500E-03,-54.37500E-03,-12.50000E-03,-3.17500E-03
-3.84000E-03,+27.50000E-03,-60.62500E-03,-6.25000E-03,+6.20000E-03
-3.83000E-03,+27.50000E-03,-63.75000E-03,-6.25000E-03,+6.20000E-03
-3.82000E-03,+33.75000E-03,-63.75000E-03,-62.50000E-03,+15.57500E-03
-3.81000E-03,+36.87500E-03,-66.87500E-03,-68.75000E-03,+12.45000E-03
-3.80000E-03,+40.00000E-03,-70.00000E-03,-6.25000E-03,+18.70000E-03
-3.79000E-03,+43.12500E-03,-70.00000E-03,-6.25000E-03,+9.32500E-03
-3.78000E-03,+49.37500E-03,-73.12500E-03,-6.25000E-03,+15.57500E-03
-3.77000E-03,+52.50000E-03,-79.37500E-03,-78.12500E-03,+9.32500E-03
-3.76000E-03,+55.62500E-03,-82.50000E-03,-81.25000E-03,+12.45000E-03
-3.75000E-03,+61.87500E-03,-82.50000E-03,-12.50000E-03,+12.45000E-03
-3.74000E-03,+65.00000E-03,-88.75000E-03,-6.25000E-03,+12.45000E-03
-3.73000E-03,+71.25000E-03,-91.87500E-03,-6.25000E-03,+18.70000E-03
-3.72000E-03,+71.25000E-03,-95.00000E-03,-90.62500E-03,+15.57500E-03
-3.71000E-03,+77.50000E-03,-98.12500E-03,-93.75000E-03,+15.57500E-03
-3.70000E-03,+80.62500E-03,-101.25000E-03,-12.50000E-03,+18.70000E-03
-3.69000E-03,+83.75000E-03,-104.37500E-03,-6.25000E-03,+24.95000E-03
-3.68000E-03,+86.87500E-03,-104.37500E-03,-9.37500E-03,+18.70000E-03
-3.67000E-03,+96.25000E-03,-110.62500E-03,-106.25000E-03,+21.82500E-03
-3.66000E-03,+93.12500E-03,-110.62500E-03,-112.50000E-03,+24.95000E-03
-3.65000E-03,+99.37500E-03,-116.87500E-03,-15.62500E-03,+15.57500E-03
-3.64000E-03,+102.50000E-03,-120.00000E-03,-6.25000E-03,+31.20000E-03
-3.63000E-03,+111.87500E-03,-126.25000E-03,-6.25000E-03,+28.07500E-03
-3.62000E-03,+115.00000E-03,-126.25000E-03,-125.00000E-03,+21.82500E-03
-3.61000E-03,+118.12500E-03,-129.37500E-03,-128.12500E-03,+34.32500E-03
-3.60000E-03,+124.37500E-03,-132.50000E-03,-9.37500E-03,+24.95000E-03
-3.59000E-03,+127.50000E-03,-135.62500E-03,-9.37500E-03,+28.07500E-03
-3.58000E-03,+133.75000E-03,-141.87500E-03,-6.25000E-03,+34.32500E-03
-3.57000E-03,+140.00000E-03,-145.00000E-03,-143.75000E-03,+34.32500E-03
-3.56000E-03,+143.12500E-03,-148.12500E-03,-146.87500E-03,+31.20000E-03
-3.55000E-03,+149.37500E-03,-151.25000E-03,-12.50000E-03,+28.07500E-03
-3.54000E-03,+152.50000E-03,-157.50000E-03,-9.37500E-03,+37.45000E-03
-3.53000E-03,+146.25000E-03,-160.62500E-03,-6.25000E-03,+40.57500E-03
-3.52000E-03,+143.12500E-03,-166.87501E-03,-162.50000E-03,+37.45000E-03
-3.51000E-03,+136.87500E-03,-170.00001E-03,-165.62500E-03,+43.70000E-03
-3.50000E-03,+133.75000E-03,-166.87501E-03,-12.50000E-03,+43.70000E-03
-3.49000E-03,+127.50000E-03,-179.37501E-03,-9.37500E-03,+49.95000E-03
-3.48000E-03,+124.37500E-03,-182.50001E-03,-9.37500E-03,+53.07500E-03
-3.47000E-03,+121.25000E-03,-185.62501E-03,-184.37500E-03,+62.45000E-03
