x-axis,B,2,3,4
second,Volt,Volt,Volt,Volt
-8.58200E-03,-196.25000E-03,+183.18750E-03,+179.37500E-03,-112.36875E-03
-8.56200E-03,-196.25000E-03,+180.06250E-03,+176.56250E-03,-106.90000E-03
-8.54200E-03,-190.62500E-03,+182.56250E-03,+21.56250E-03,-104.86875E-03
-8.52200E-03,-184.37500E-03,+177.25000E-03,+1.56250E-03,-104.71250E-03
-8.50200E-03,-186.56250E-03,+173.81250E-03,-1.56250E-03,-103.30625E-03
-8.48200E-03,-184.06250E-03,+176.31250E-03,+161.25000E-03,-107.36875E-03
-8.46200E-03,-178.12500E-03,+168.18750E-03,+168.12500E-03,-106.43125E-03
-8.44200E-03,-177.50000E-03,+170.06250E-03,+161.25000E-03,-104.86875E-03
-8.42200E-03,-177.50000E-03,+167.56250E-03,+20.00000E-03,-94.86875E-03
-8.40200E-03,-171.87500E-03,+164.43750E-03,+1.56250E-03,-96.58750E-03
-8.38200E-03,-168.43750E-03,+161.31250E-03,+1.25000E-03,-101.11875E-03
-8.36200E-03,-162.50000E-03,+158.18750E-03,+1.25000E-03,-100.18125E-03
-8.34200E-03,-164.68750E-03,+155.06250E-03,+136.25000E-03,-98.61875E-03
-8.32200E-03,-156.56250E-03,+154.75000E-03,+148.43750E-03,-99.86875E-03
-8.30200E-03,-155.62500E-03,+149.12500E-03,+145.31250E-03,-91.58750E-03
-8.28200E-03,-152.81250E-03,+148.50000E-03,+21.25000E-03,-90.65000E-03
-8.26200E-03,-146.87500E-03,+145.68750E-03,+1.87500E-03,-90.65000E-03
-8.24200E-03,-143.43750E-03,+142.56250E-03,-1.56250E-03,-90.65000E-03
-8.22200E-03,-143.12500E-03,+136.62500E-03,+121.87500E-03,-93.46250E-03
-8.20200E-03,-140.31250E-03,+136.00000E-03,+132.81250E-03,-92.36875E-03
-8.18200E-03,-137.18750E-03,+130.37500E-03,+126.87500E-03,-82.36875E-03
-8.16200E-03,-131.25000E-03,+129.75000E-03,+126.25000E-03,-86.90000E-03
-8.14200E-03,-127.81250E-03,+124.12500E-03,+13.75000E-03,-87.52500E-03
-8.12200E-03,-127.50000E-03,+123.50000E-03,+1.25000E-03,-80.49375E-03
-8.10200E-03,-121.87500E-03,+120.68750E-03,+1.25000E-03,-78.30625E-03
-8.08200E-03,-118.43750E-03,+123.18750E-03,+105.31250E-03,-79.55625E-03
-8.06200E-03,-115.31250E-03,+115.06250E-03,+111.25000E-03,-79.71250E-03
-8.04200E-03,-109.37500E-03,+111.31250E-03,+105.00000E-03,-83.93125E-03
-8.02200E-03,-105.93750E-03,+108.18750E-03,+8.75000E-03,-74.55625E-03
