x-axis,B,2,3,4
second,Volt,Volt,Volt,Volt
-4.9800E-03,-203.8000E-03,-76.3000E-03,-73.7500E-03,+46.8500E-03
-4.9700E-03,-191.3000E-03,-104.4250E-03,-105.0000E-03,+26.5375E-03
-4.9600E-03,-175.6750E-03,-126.3000E-03,-1.8750E-03,+21.8500E-03
-4.9500E-03,-150.6750E-03,-148.1750E-03,-1.8750E-03,+1.5375E-03
-4.9400E-03,-122.5500E-03,-160.6750E-03,-1.8750E-03,-15.6500E-03
-4.9300E-03,-91.3000E-03,-166.9250E-03,-1.8750E-03,-23.4625E-03
-4.9200E-03,-56.9250E-03,-170.0500E-03,-1.8750E-03,-45.3375E-03
-4.9100E-03,-16.3000E-03,-166.9250E-03,-1.8750E-03,-64.0875E-03
-4.9000E-03,+18.0750E-03,-157.5500E-03,-1.8750E-03,-75.0250E-03
-4.8900E-03,+55.5750E-03,-135.6750E-03,-1.8750E-03,-87.5250E-03
-4.8800E-03,+86.8250E-03,-120.0500E-03,-1.8750E-03,-98.4625E-03
-4.8700E-03,+118.0750E-03,-95.0500E-03,-1.8750E-03,-104.7125E-03
-4.8600E-03,+143.0750E-03,-66.9250E-03,-1.8750E-03,-107.8375E-03
-4.8500E-03,+168.0750E-03,-32.5500E-03,-5.0000E-03,-112.5250E-03
-4.8400E-03,+177.4500E-03,-4.4250E-03,-1.8750E-03,-106.2750E-03
-4.8300E-03,+189.9500E-03,+29.9500E-03,-1.8750E-03,-109.4000E-03
-4.8200E-03,+186.8250E-03,+54.9500E-03,-1.8750E-03,-100.0250E-03
-4.8100E-03,+177.4500E-03,+89.3250E-03,-1.8750E-03,-100.0250E-03
-4.8000E-03,+161.8250E-03,+114.3250E-03,+113.7500E-03,-85.9625E-03
-4.7900E-03,+146.2000E-03,+142.4500E-03,+138.7500E-03,-81.2750E-03
-4.7800E-03,+118.0750E-03,+154.9500E-03,+154.3750E-03,-68.7750E-03
-4.7700E-03,+86.8250E-03,+167.4500E-03,+166.8750E-03,-57.8375E-03
-4.7600E-03,+55.5750E-03,+173.7000E-03,+166.8750E-03,-35.9625E-03
